,EVENT,DATE,LOCATION,BOUT,WINNER,WEIGHTCLASS,METHOD,ROUND,TIME,TIME FORMAT,REFEREE,DETAILS,URL
7718,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",Carlos Newton  vs  Pat Miletich,Carlos Newton,UFC Welterweight Title Bout,Submission,3,2:50,5 Rnd (5-5-5-5-5),John McCarthy,Bulldog Choke On Ground ,http://ufcstats.com/fight-details/34ab72077963ee74
7719,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",Chuck Liddell  vs  Kevin Randleman,Chuck Liddell,Light Heavyweight Bout,KO/TKO,1,1:18,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/c0be83e56601e7ce
7720,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",Shonie Carter  vs  Matt Serra,Shonie Carter,Welterweight Bout,KO/TKO,3,4:51,3 Rnd (5-5-5),Mario Yamasaki,Spinning Back Fist Head ,http://ufcstats.com/fight-details/0434a68809885ea1
7721,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",Semmy Schilt  vs  Pete Williams,Semmy Schilt,Heavyweight Bout,KO/TKO,2,1:28,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/7a018ddd9239e45f
7722,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",Matt Lindland  vs  Ricardo Almeida,Matt Lindland,Light Heavyweight Bout,DQ,3,4:21,3 Rnd (5-5-5),Mario Yamasaki,Illegal Kicks on Ground by Almeida,http://ufcstats.com/fight-details/ef99fb08c6b06963
7723,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",BJ Penn  vs  Joey Gilbert,BJ Penn,Lightweight Bout,KO/TKO,1,4:57,3 Rnd (5-5-5),John McCarthy,Punches to Head From Back Control ,http://ufcstats.com/fight-details/97a4b37cee48ea0b
7724,UFC 31: Locked And Loaded,"May 04, 2001","Atlantic City, New Jersey, USA",Tony DeSouza  vs  Steve Berger,Tony DeSouza,Welterweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Eddie Andujar 27 - 30.Doug Crosby 28 - 29.Michael Depasquale 28 - 29.,http://ufcstats.com/fight-details/49693a06fc1d8906
7725,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Tito Ortiz  vs  Evan Tanner,Tito Ortiz,UFC Light Heavyweight Title Bout,KO/TKO,1,0:32,5 Rnd (5-5-5-5-5),John McCarthy,Slam to On Ground ,http://ufcstats.com/fight-details/f8820294bbe01486
7726,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Jens Pulver  vs  Caol Uno,Jens Pulver,UFC Lightweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/a38ec65ac140fcf8
7727,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Fabiano Iha  vs  Phil Johns,Fabiano Iha,Welterweight Bout,Submission,1,1:40,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Side Control ,http://ufcstats.com/fight-details/74d0da1f9df17b9e
7728,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Elvis Sinosic  vs  Jeremy Horn,Elvis Sinosic,Middleweight Bout,Submission,1,2:52,3 Rnd (5-5-5),Mario Yamasaki,Triangle Choke From Bottom Guard ,http://ufcstats.com/fight-details/4a1f37200bc69376
7729,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Pedro Rizzo  vs  Josh Barnett,Pedro Rizzo,Heavyweight Bout,KO/TKO,2,4:21,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance ,http://ufcstats.com/fight-details/75a401066ad784f6
7730,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Bobby Hoffman  vs  Mark Robinson,No Contest,Heavyweight Bout,Overturned,1,3:27,2 Rnd (5-5),John McCarthy,Failed Drug Test by Hoffman,http://ufcstats.com/fight-details/651da45cc83ce011
7731,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Phil Baroni  vs  Curtis Stout,Phil Baroni,Middleweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mason White,Unanimous Decision,http://ufcstats.com/fight-details/a949b05c64e43131
7732,UFC 30: Battle On The Boardwalk,"February 23, 2001","Atlantic City, New Jersey, USA",Sean Sherk  vs  Tiki Ghosn,Sean Sherk,Welterweight Bout,Submission,2,4:47,2 Rnd (5-5),Mason White,InjuryShoulder Injury,http://ufcstats.com/fight-details/bfb468c3427faa50
7733,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Tito Ortiz  vs  Yuki Kondo,Tito Ortiz,UFC Light Heavyweight Title Bout,Submission,1,1:52,5 Rnd (5-5-5-5-5),John McCarthy,Neck Crank From Side Control ,http://ufcstats.com/fight-details/2783ccf179321171
7734,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Pat Miletich  vs  Kenichi Yamamoto,Pat Miletich,UFC Welterweight Title Bout,Submission,2,1:58,5 Rnd (5-5-5-5-5),John McCarthy,Guillotine Choke From Front Headlock ,http://ufcstats.com/fight-details/53a736ebc356cc4a
7735,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Matt Lindland  vs  Yoji Anjo,Matt Lindland,Middleweight Bout,KO/TKO,1,2:58,3 Rnd (5-5-5),John McCarthy,Punches to Head From Mount ,http://ufcstats.com/fight-details/c39728802a8409ee
7736,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Fabiano Iha  vs  Daiju Takase,Fabiano Iha,Welterweight Bout,KO/TKO,1,2:24,3 Rnd (5-5-5),John McCarthy,Punches to Head On Ground ,http://ufcstats.com/fight-details/5a4f6ff454b1eeb8
7737,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Evan Tanner  vs  Lance Gibson,Evan Tanner,Middleweight Bout,KO/TKO,1,4:58,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head From Mount ,http://ufcstats.com/fight-details/019eca4a900ed793
7738,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Dennis Hallman  vs  Matt Hughes,Dennis Hallman,Welterweight Bout,Submission,1,0:20,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Bottom Guard ,http://ufcstats.com/fight-details/3c49bf20e4442a81
7739,UFC 29: Defense Of The Belts,"December 16, 2000","Tokyo, Japan",Chuck Liddell  vs  Jeff Monson,Chuck Liddell,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/9ea4087371f7a892
7740,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Randy Couture  vs  Kevin Randleman,Randy Couture,UFC Heavyweight Title Bout,KO/TKO,3,4:13,5 Rnd (5-5-5-5-5),John McCarthy,Punches to Head From Mount ,http://ufcstats.com/fight-details/10cca6f437922b6c
7741,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Renato Sobral  vs  Maurice Smith,Renato Sobral,Heavyweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),John McCarthy,Majority Decision,http://ufcstats.com/fight-details/40d31c37e00d6d0b
7742,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Josh Barnett  vs  Gan McGee,Josh Barnett,Super Heavyweight Bout,KO/TKO,2,4:34,3 Rnd (5-5-5),John McCarthy,Elbows to Head From Mount ,http://ufcstats.com/fight-details/e4df2b73dff57d3a
7743,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Andrei Arlovski  vs  Aaron Brink,Andrei Arlovski,Heavyweight Bout,Submission,1,0:55,3 Rnd (5-5-5),John McCarthy,Armbar On Ground ,http://ufcstats.com/fight-details/91cef206019c119e
7744,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Jens Pulver  vs  John Lewis,Jens Pulver,Lightweight Bout,KO/TKO,1,0:15,3 Rnd (5-5-5),Mario Yamasaki,Punch to Head At Distance ,http://ufcstats.com/fight-details/be8e34d585be9dc7
7745,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Mark Hughes  vs  Alex Stiebling,Mark Hughes,Middleweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/b85ce7371fb18305
7746,UFC 28: High Stakes,"November 17, 2000","Atlantic City, New Jersey, USA",Ben Earwood  vs  Chris Lytle,Ben Earwood,Welterweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/4aef975838bc19ec
7747,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Pedro Rizzo  vs  Dan Severn,Pedro Rizzo,Heavyweight Bout,KO/TKO,1,1:33,3 Rnd (5-5-5),John McCarthy,Kicks to Leg At DistanceSubmission to Strikes,http://ufcstats.com/fight-details/794ec0a93eca0492
7748,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Maurice Smith  vs  Bobby Hoffman,Maurice Smith,Heavyweight Bout,Decision - Split,3,5:00,3 Rnd (5-5-5),John McCarthy,Split Decision,http://ufcstats.com/fight-details/c5bec85a32462995
7749,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Jeremy Horn  vs  Eugene Jackson,Jeremy Horn,Middleweight Bout,Submission,1,4:32,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Side Control ,http://ufcstats.com/fight-details/3ef7c2b26af8cf22
7750,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Fabiano Iha  vs  Laverne Clark,Fabiano Iha,Welterweight Bout,Submission,1,1:10,3 Rnd (5-5-5),Mario Yamasaki,Armbar From Side Control ,http://ufcstats.com/fight-details/0bec32c32da199ed
7751,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Yuki Kondo  vs  Alexandre Dantas,Yuki Kondo,Middleweight Bout,KO/TKO,3,2:28,3 Rnd (5-5-5),John McCarthy,Flying Knee Head ,http://ufcstats.com/fight-details/8a9a37d68cc428d6
7752,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Ian Freeman  vs  Tedd Williams,Ian Freeman,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/ae54f944d1ba378f
7753,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Jeff Monson  vs  Tim Lajcik,Jeff Monson,Heavyweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/075dee476361e83e
7754,UFC 27: Ultimate Bad Boyz,"September 22, 2000","New Orleans, Louisiana, USA",Brad Gumm  vs  CJ Fernandes,Draw,Welterweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/c078544a32e18ba3
7755,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Kevin Randleman  vs  Pedro Rizzo,Kevin Randleman,UFC Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/cef1b43c77e02635
7756,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Tyrone Roberts  vs  David Dodd,Tyrone Roberts,Middleweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/60e5b2c1bdaa203e
7757,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Pat Miletich  vs  John Alessio,Pat Miletich,UFC Welterweight Title Bout,Submission,2,1:43,3 Rnd (5-5-5),John McCarthy,Armbar From Mount ,http://ufcstats.com/fight-details/f0b2020d11a0cf94
7758,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Amaury Bitetti  vs  Alex Andrade,Amaury Bitetti,Middleweight Bout,DQ,2,0:43,3 Rnd (5-5-5),John McCarthy,Kicking with Shoes by Andrade,http://ufcstats.com/fight-details/a0dfc397caef4afe
7759,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Matt Hughes  vs  Marcelo Aguiar,Matt Hughes,Welterweight Bout,TKO - Doctor's Stoppage,1,4:34,3 Rnd (5-5-5),Mario Yamasaki,Facial Cut,http://ufcstats.com/fight-details/d84f88ac792e8c53
7760,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Jens Pulver  vs  Joao Roque,Jens Pulver,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/8452f6d5a1450cfb
7761,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Ian Freeman  vs  Nate Schroeder,Ian Freeman,Heavyweight Bout,KO/TKO,2,2:13,2 Rnd (5-5),John McCarthy,Knees to Head On GroundSubmission to Strikes,http://ufcstats.com/fight-details/7edac7a0a2f72f28
7762,UFC 26: Ultimate Field Of Dreams,"June 09, 2000","Cedar Rapids, Iowa, USA",Shonie Carter  vs  Adrian Serrano,Shonie Carter,Welterweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/85f28a8276a141b6
7763,UFC 25: Ultimate Japan 3,"April 14, 2000","Tokyo, Japan",Tito Ortiz  vs  Wanderlei Silva,Tito Ortiz,UFC Light Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,47 - 49.46 - 49.46 - 49.,http://ufcstats.com/fight-details/0adfdf8f563be462
7764,UFC 25: Ultimate Japan 3,"April 14, 2000","Tokyo, Japan",Murilo Bustamante  vs  Yoji Anjo,Murilo Bustamante,Middleweight Bout,Submission,2,0:31,3 Rnd (5-5-5),John McCarthy,Arm Triangle From Side Control ,http://ufcstats.com/fight-details/b675fb8f413b59e4
7765,UFC 25: Ultimate Japan 3,"April 14, 2000","Tokyo, Japan",Sanae Kikuta  vs  Eugene Jackson,Sanae Kikuta,Middleweight Bout,Submission,1,4:38,3 Rnd (5-5-5),John McCarthy,Armbar From Half Guard ,http://ufcstats.com/fight-details/ba8b1ed5b05a719a
7766,UFC 25: Ultimate Japan 3,"April 14, 2000","Tokyo, Japan",Ron Waterman  vs  Satoshi Honma,Ron Waterman,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/f6066d192a16f5ff
7767,UFC 25: Ultimate Japan 3,"April 14, 2000","Tokyo, Japan",Ikuhisa Minowa  vs  Joe Slick,Ikuhisa Minowa,Middleweight Bout,TKO - Doctor's Stoppage,3,1:54,3 Rnd (5-5-5),John McCarthy,Scalp Cut,http://ufcstats.com/fight-details/9397493152c0669a
7768,UFC 25: Ultimate Japan 3,"April 14, 2000","Tokyo, Japan",Laverne Clark  vs  Koji Oishi,Laverne Clark,Lightweight Bout,Decision - Majority,3,5:00,3 Rnd (5-5-5),John McCarthy,Majority Decision,http://ufcstats.com/fight-details/cf8fe599f0b44fd5
7769,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Tedd Williams  vs  Steve Judson,Tedd Williams,Heavyweight Bout,KO/TKO,1,3:23,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/9f2b94c46b70c6fb
7770,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Lance Gibson  vs  Jermaine Andre,Lance Gibson,Middleweight Bout,KO/TKO,3,3:35,3 Rnd (5-5-5),John McCarthy,Knee to Head In Clinch ,http://ufcstats.com/fight-details/17be6e24dafd31e0
7771,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Dave Menne  vs  Fabiano Iha,Dave Menne,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/aca2f98ee112d137
7772,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Bob Cook  vs  Tiki Ghosn,Bob Cook,Lightweight Bout,Submission,2,1:29,3 Rnd (5-5-5),John McCarthy,Rear Naked Choke ,http://ufcstats.com/fight-details/22911cbd32370f6c
7773,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Jens Pulver  vs  David Velasquez,Jens Pulver,Lightweight Bout,KO/TKO,2,2:41,3 Rnd (5-5-5),John McCarthy,Punches to Head From Mount ,http://ufcstats.com/fight-details/cf85523b0d442d35
7774,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Scott Adams  vs  Ian Freeman,Scott Adams,Heavyweight Bout,Submission,1,3:09,2 Rnd (5-5),Dan Severn,Heel Hook On Ground ,http://ufcstats.com/fight-details/81b0c08f7503e79a
7775,UFC 24: First Defense,"March 10, 2000","Lake Charles, Louisiana, USA",Shonie Carter  vs  Brad Gumm,Shonie Carter,Lightweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),Dan Severn,Unanimous Decision,http://ufcstats.com/fight-details/77f9b97f62f373b0
7776,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Kevin Randleman  vs  Pete Williams,Kevin Randleman,UFC Heavyweight Title Bout,Decision - Unanimous,5,5:00,5 Rnd (5-5-5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/2ab41c5519d0b1b9
7777,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Pedro Rizzo  vs  Tsuyoshi Kohsaka,Pedro Rizzo,Heavyweight Bout,KO/TKO,3,1:17,3 Rnd (5-5-5),John McCarthy,Punch to Head On Ground ,http://ufcstats.com/fight-details/c22545a5881459ac
7778,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Kenichi Yamamoto  vs  Katsuhisa Fujii,Kenichi Yamamoto,Ultimate Japan 2 Heavyweight Tournament Title Bout,Submission,2,4:15,3 Rnd (5-5-5),John McCarthy,Kneebar From Bottom Guard ,http://ufcstats.com/fight-details/9c7830c91fad60d8
7779,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Joe Slick  vs  Jason DeLucia,Joe Slick,Middleweight Bout,KO/TKO,1,1:28,3 Rnd (5-5-5),John McCarthy,toKnee Injury,http://ufcstats.com/fight-details/2cd6330ef18210b9
7780,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Eugene Jackson  vs  Keiichiro Yamamiya,Eugene Jackson,Middleweight Bout,KO/TKO,3,3:12,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/36c929fb1569d4b9
7781,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Kenichi Yamamoto  vs  Daiju Takase,Kenichi Yamamoto,Open Weight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),Mario Yamasaki,Unanimous Decision,http://ufcstats.com/fight-details/a4e592c874e8233f
7782,UFC 23: Ultimate Japan 2,"November 19, 1999","Chiba, Japan",Katsuhisa Fujii  vs  Masutatsu Yano,Katsuhisa Fujii,Open Weight Bout,KO/TKO,2,3:12,3 Rnd (5-5-5),Mario Yamasaki,Punches to Head At Distance ,http://ufcstats.com/fight-details/ee1950e871aa5cc2
7783,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Frank Shamrock  vs  Tito Ortiz,Frank Shamrock,UFC Light Heavyweight Title Bout,KO/TKO,4,4:42,5 Rnd (5-5-5-5-5),John McCarthy,Punches to Head On GroundSubmission to Strikes,http://ufcstats.com/fight-details/b1134affa18449dd
7784,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Tim Lajcik  vs  Ron Waterman,Draw,Heavyweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/96c247ba0eb1ac65
7785,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Jeremy Horn  vs  Jason Godsey,Jeremy Horn,Heavyweight Bout,Submission,1,2:08,3 Rnd (5-5-5),John McCarthy,Armbar From Bottom Guard ,http://ufcstats.com/fight-details/eebf672428b168b7
7786,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Brad Kohler  vs  Steve Judson,Brad Kohler,Heavyweight Bout,KO/TKO,1,0:30,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/c57acf13de48330a
7787,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Chuck Liddell  vs  Paul Jones,Chuck Liddell,Middleweight Bout,TKO - Doctor's Stoppage,1,3:53,3 Rnd (5-5-5),John McCarthy,Facial Cut,http://ufcstats.com/fight-details/c6ead49500c047e5
7788,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Matt Hughes  vs  Valeri Ignatov,Matt Hughes,Lightweight Bout,Decision - Unanimous,3,5:00,3 Rnd (5-5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/d9e86958bcb15c26
7789,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",John Lewis  vs  Lowell Anderson,John Lewis,Middleweight Bout,KO/TKO,3,0:13,3 Rnd (5-5-5),John McCarthy,toCorner Stoppage,http://ufcstats.com/fight-details/968cd768ac41e6ee
7790,UFC 22: Only One Can Be Champion,"September 24, 1999","Lake Charles, Louisiana, USA",Jens Pulver  vs  Alfonso Alcarez,Draw,Lightweight Bout,Decision - Majority,2,5:00,2 Rnd (5-5),John McCarthy,Majority Decision,http://ufcstats.com/fight-details/a1c1e3c1e9c6cf1e
7791,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Maurice Smith  vs  Marco Ruas,Maurice Smith,Heavyweight Bout,KO/TKO,1,5:00,3 Rnd (5-5-5),John McCarthy,toKnee Injury,http://ufcstats.com/fight-details/62ac5bff3c181f50
7792,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Pat Miletich  vs  Andre Pederneiras,Pat Miletich,UFC Welterweight Title Bout,TKO - Doctor's Stoppage,2,1:34,5 Rnd (5-5-5-5-5),John McCarthy,Facial Cut,http://ufcstats.com/fight-details/df8d4014d8206ab1
7793,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Jeremy Horn  vs  Daiju Takase,Jeremy Horn,Middleweight Bout,KO/TKO,1,4:41,3 Rnd (5-5-5),Mario Yamasaki,Elbows to Head From Mount ,http://ufcstats.com/fight-details/38e3986b7cfff608
7794,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Paul Jones  vs  Flavio Luiz Moura,Paul Jones,Middleweight Bout,Submission,1,4:20,3 Rnd (5-5-5),Mario Yamasaki,Rear Naked Choke ,http://ufcstats.com/fight-details/82cf32aea3d7edf3
7795,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Tsuyoshi Kohsaka  vs  Tim Lajcik,Tsuyoshi Kohsaka,Heavyweight Bout,KO/TKO,2,5:00,3 Rnd (5-5-5),John McCarthy,toCorner Stoppage,http://ufcstats.com/fight-details/3e4199f9a69bac88
7796,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Eugene Jackson  vs  Royce Alger,Eugene Jackson,Middleweight Bout,KO/TKO,2,1:19,3 Rnd (5-5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/693e4a0bed9a1369
7797,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Andre Roberts  vs  Ron Waterman,Andre Roberts,Heavyweight Bout,KO/TKO,1,2:51,2 Rnd (5-5),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/c6f8541973f69080
7798,UFC 21: Return Of The Champions,"July 16, 1999","Cedar Rapids, Iowa, USA",Travis Fulton  vs  David Dodd,Travis Fulton,Heavyweight Bout,Decision - Unanimous,2,5:00,2 Rnd (5-5),John McCarthy,Unanimous Decision,http://ufcstats.com/fight-details/1db8bed8b4d30fb3
7799,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Bas Rutten  vs  Kevin Randleman,Bas Rutten,UFC Heavyweight Title Bout,Decision - Split,3,3:00,1 Rnd + 2OT (15-3-3),John McCarthy,Split Decision,http://ufcstats.com/fight-details/73c07530f667289f
7800,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Pedro Rizzo  vs  Tra Telligman,Pedro Rizzo,Heavyweight Bout,KO/TKO,1,4:30,1 Rnd + OT (12-3),John McCarthy,Punch to Head At Distance ,http://ufcstats.com/fight-details/99b5010fd25911af
7801,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Pete Williams  vs  Travis Fulton,Pete Williams,Heavyweight Bout,Submission,1,6:28,1 Rnd + OT (12-3),John McCarthy,Armbar From Bottom Guard ,http://ufcstats.com/fight-details/a3fe8217502c42a4
7802,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Wanderlei Silva  vs  Tony Petarra,Wanderlei Silva,Middleweight Bout,KO/TKO,1,2:53,1 Rnd + OT (12-3),Mario Yamasaki,Knees to Head In Clinch ,http://ufcstats.com/fight-details/c892b23ad8f2208b
7803,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Marcelo Mello  vs  David Roberts,Marcelo Mello,Lightweight Bout,KO/TKO,1,1:23,1 Rnd + OT (12-3),John McCarthy,Elbows to Head From Back Control ,http://ufcstats.com/fight-details/6bb2a427004deecc
7804,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Laverne Clark  vs  Fabiano Iha,Laverne Clark,Lightweight Bout,TKO - Doctor's Stoppage,1,1:21,1 Rnd + OT (12-3),Mario Yamasaki,Facial Cut,http://ufcstats.com/fight-details/3a271d9d9210a818
7805,UFC 20: Battle For The Gold,"May 07, 1999","Birmingham, Alabama, USA",Ron Waterman  vs  Chris Condo,Ron Waterman,Heavyweight Bout,KO/TKO,1,0:28,1 Rnd + OT (12-3),John McCarthy,Punches to Head From Half Guard ,http://ufcstats.com/fight-details/79f9086932f21016
7806,UFC 19: Ultimate Young Guns,"March 05, 1999","Bay St. Louis, Mississippi, USA",Tito Ortiz  vs  Guy Mezger,Tito Ortiz,Middleweight Bout,KO/TKO,1,9:56,1 Rnd + OT (12-3),John McCarthy,Punches to Head On Ground ,http://ufcstats.com/fight-details/c03d0d781df4ad2a
